dataset,n_items,mean_item_words,median_item_words,p90_item_words,items_with_categories_pct,mean_categories_per_item,unique_category_tokens,category_entropy,dimension,n_conflict_pairs,ndcg_alignment_pct
mind,7713,48.23855827823156,40.0,89.0,100.0,1.9595488136911707,283,5.482535822287808,balanced,4,75.0
mind,7713,48.23855827823156,40.0,89.0,100.0,1.9595488136911707,283,5.482535822287808,relevance,4,25.0
mind,7713,48.23855827823156,40.0,89.0,100.0,1.9595488136911707,283,5.482535822287808,diversity,4,100.0
mind,7713,48.23855827823156,40.0,89.0,100.0,1.9595488136911707,283,5.482535822287808,novelty,4,75.0
yelp,56696,13.942712007901791,13.0,21.0,100.0,4.784252857344433,1153,7.0775317435463165,balanced,3,100.0
yelp,56696,13.942712007901791,13.0,21.0,100.0,4.784252857344433,1153,7.0775317435463165,relevance,3,66.66666666666666
yelp,56696,13.942712007901791,13.0,21.0,100.0,4.784252857344433,1153,7.0775317435463165,diversity,3,66.66666666666666
yelp,56696,13.942712007901791,13.0,21.0,100.0,4.784252857344433,1153,7.0775317435463165,novelty,3,33.33333333333333
amazon_books,14710,152.9780421481985,115.0,291.0,0.06798096532970768,0.0008837525492861999,13,3.7004397181410926,balanced,4,75.0
amazon_books,14710,152.9780421481985,115.0,291.0,0.06798096532970768,0.0008837525492861999,13,3.7004397181410926,relevance,4,75.0
amazon_books,14710,152.9780421481985,115.0,291.0,0.06798096532970768,0.0008837525492861999,13,3.7004397181410926,diversity,4,75.0
amazon_books,14710,152.9780421481985,115.0,291.0,0.06798096532970768,0.0008837525492861999,13,3.7004397181410926,novelty,4,50.0
amazon_cds,16184,103.29257291151755,95.0,207.0,0.06796836381611468,0.0008032624814631735,7,2.1887870678023824,balanced,4,100.0
amazon_cds,16184,103.29257291151755,95.0,207.0,0.06796836381611468,0.0008032624814631735,7,2.1887870678023824,relevance,4,50.0
amazon_cds,16184,103.29257291151755,95.0,207.0,0.06796836381611468,0.0008032624814631735,7,2.1887870678023824,diversity,4,50.0
amazon_cds,16184,103.29257291151755,95.0,207.0,0.06796836381611468,0.0008032624814631735,7,2.1887870678023824,novelty,4,25.0
