dataset,model_a,model_b,n_paired_users,ndcg_a,ndcg_b,delta_ndcg_a_minus_b,delta_ndcg_ci95_low,delta_ndcg_ci95_high,ndcg_near_tie_ci_includes_zero,recall_a,recall_b,delta_recall_a_minus_b,delta_recall_ci95_low,delta_recall_ci95_high,recall_near_tie_ci_includes_zero,ndcg_winner,coverage_winner,is_conflict,in_six_pair_subset
amazon_books,gbaf,concat_mlp,12129,0.016642425020831214,0.012474997660251475,0.004167427360579743,0.002201676673728891,0.006133178047430595,False,0.03446285761398302,0.025888366724379587,0.00857449088960343,0.00487102145083727,0.01227796032836959,False,gbaf,concat_mlp,True,False
amazon_books,gbaf,fixed,12129,0.016642425020831214,0.008998180991763654,0.007644244029067563,0.005771678598449546,0.00951680945968558,False,0.03446285761398302,0.01822079314040729,0.016242064473575728,0.012687246103274416,0.01979688284387704,False,gbaf,fixed,True,False
amazon_books,gradnorm_only,concat_mlp,12129,0.016878784217008794,0.012474997660251475,0.004403786556757317,0.002425587159962217,0.006381985953552417,False,0.03297881111385934,0.025888366724379587,0.00709044438947976,0.0035005670283560484,0.010680321750603471,False,gradnorm_only,concat_mlp,True,False
amazon_books,lightgcn_only,fixed,12129,0.01171176618403904,0.008998180991763654,0.0027135851922753845,0.0008373349726594011,0.004589835411891368,False,0.024569214279825214,0.01822079314040729,0.006348421139417924,0.0028057071866123538,0.009891135092223495,False,lightgcn_only,fixed,True,False
amazon_cds,gbaf,concat_mlp,15592,0.026077695602489997,0.01840914679470136,0.007668548807788635,0.005576178346594969,0.009760919268982302,False,0.05150076962544895,0.036493073370959465,0.015007696254489482,0.011285777014910351,0.018729615494068614,False,gbaf,concat_mlp,True,False
amazon_cds,gbaf,fixed,15592,0.026077695602489997,0.010882780992506617,0.01519491460998338,0.01309673290470873,0.01729309631525803,False,0.05150076962544895,0.02090815802975885,0.030592611595690097,0.02686661989778103,0.03431860329359916,False,gbaf,fixed,True,True
amazon_cds,gradnorm_only,concat_mlp,15592,0.024581695920150495,0.01840914679470136,0.006172549125449132,0.0040738569355730425,0.008271241315325223,False,0.0482939969214982,0.036493073370959465,0.011800923550538737,0.00810170593999736,0.015500141161080115,False,gradnorm_only,concat_mlp,True,False
amazon_cds,lightgcn_only,fixed,15592,0.016899567969702604,0.010882780992506617,0.006016786977195989,0.004092740615377983,0.007940833339013994,False,0.03258081067213956,0.02090815802975885,0.011672652642380708,0.008361076771503552,0.014984228513257864,False,lightgcn_only,fixed,True,True
mind,gbaf,fixed,27678,0.030046501444783547,0.02914176994586703,0.0009047314989165175,-0.00046929494872141055,0.0022787579465544452,True,0.05926287223707557,0.05970118952993438,-0.0004383172928588058,-0.0030461450946584596,0.0021695105089408477,True,gbaf,fixed,True,True
mind,gbaf,gradnorm_only,27678,0.030046501444783547,0.027158253250738364,0.0028882481940451766,0.001467812644552152,0.004308683743538201,False,0.05926287223707557,0.052835327352994815,0.006427544884080761,0.0037536794249926563,0.009101410343168866,False,gbaf,gradnorm_only,True,False
mind,gbaf,pcgrad,27678,0.030046501444783547,0.02564937579440674,0.004397125650376801,0.0030235830788957856,0.0057706682218578165,False,0.05926287223707557,0.05061646930279056,0.008646402934285006,0.006070224353934509,0.011222581514635503,False,gbaf,pcgrad,True,False
mind,lightgcn_only,fixed,27678,0.03106544953438276,0.02914176994586703,0.0019236795885157372,0.00048107315903530537,0.0033662860179961692,False,0.06572101273488656,0.05970118952993438,0.006019823204952189,0.0031849910118414326,0.008854655398062945,False,lightgcn_only,fixed,True,True
yelp,concat_mlp,gradnorm_only,99165,0.015599957467516185,0.016117640876427086,-0.0005176834089109012,-0.001086791229797797,5.142441197599455e-05,True,0.023738172409315996,0.023574398907164357,0.00016377350215164097,-0.000670456769699486,0.000998003774002768,True,gradnorm_only,concat_mlp,True,False
yelp,gbaf,concat_mlp,99165,0.01723630003424559,0.015599957467516185,0.0016363425667294046,0.0010584443471720341,0.002214240786286775,False,0.025145762860433962,0.023738172409315996,0.0014075904511179653,0.0005648919651041946,0.002250288937131736,False,gbaf,concat_mlp,True,True
yelp,gbaf,fixed,99165,0.01723630003424559,0.006031406282086804,0.011204893752158784,0.010717018130919125,0.011692769373398443,False,0.025145762860433962,0.008577688265728713,0.016568074594705245,0.01585555205632827,0.01728059713308222,False,gbaf,gbaf,False,False
yelp,lightgcn_only,fixed,99165,0.01253181850319074,0.006031406282086804,0.006500412221103936,0.006061549030576759,0.006939275411631113,False,0.017825791550011315,0.008577688265728713,0.009248103284282602,0.008610414223782368,0.009885792344782835,False,lightgcn_only,fixed,True,True
